# cash is in millions dollars.
ticker, quarter, cash, cross_check
BRK.B, 2022Q4, 128585,
BRK.B, 2023Q1, 130616,
BRK.B, 2023Q2, 147377,
BRK.B, 2023Q3, 157241,
BRK.B, 2023Q4, 167641,
BRK.B, 2024Q1, 188993,
BRK.B, 2024Q2, 276942,
BRK.B, 2024Q3, 325212,
BRK.B, 2024Q4, 334201,
BRK.B, 2025Q1, 333301,
BRK.B, 2025Q2, 344091,
BRK.B, 2025Q3, 358432, https://x.com/ChrisBloomstran/status/1984630249238167948
