# Operating income can get revised at a later point in time. This file contains
# the revised and latest number.
#
# operating_income is in millions dollars
ticker, quarter, operating_income, ref
BRK.B, 2021Q1,  7018, https://www.businesswire.com/news/home/20220430005003/en
BRK.B, 2021Q2,  6686, https://www.businesswire.com/news/home/20220806005001/en
BRK.B, 2021Q4,  7285, https://www.businesswire.com/news/home/20230225005002/en
BRK.B, 2022Q1,  7160, https://www.businesswire.com/news/home/20230506005003/en
BRK.B, 2022Q2,  9417, https://www.businesswire.com/news/home/20230805450224/en
BRK.B, 2022Q3,  7651, https://www.businesswire.com/news/home/20231104745358/en
BRK.B, 2022Q4,  6625, https://www.businesswire.com/news/home/20240224643700/en
BRK.B, 2023Q1,  8065, https://www.businesswire.com/news/home/20240504932623/en
BRK.B, 2023Q2, 10043, https://www.businesswire.com/news/home/20240803795024/en
BRK.B, 2023Q3, 10761, https://www.businesswire.com/news/home/20241102654212/en
BRK.B, 2023Q4,  8481, https://www.businesswire.com/news/home/20250222845036/en
BRK.B, 2024Q1, 11222, https://www.businesswire.com/news/home/20250503586072/en
BRK.B, 2024Q2, 11598, https://www.berkshirehathaway.com/news/aug0225.pdf
BRK.B, 2024Q3, 10090, https://www.berkshirehathaway.com/news/nov0125.pdf
