AAPL, "Apple Inc."
AET,
AMZN
ATUS, Altice USA Inc
BABA
BB
BLK
CHTR, "Charter Communications, Inc."
CMCSA, Comcast Corporation
CMG, "Chipotle Mexican Grill, Inc."
COST
DPZ, "Domino's Pizza, Inc."
FB
GE
GOOG
HD
HPQ
INTC
KHC
KKD
MSFT
NFLX
NPK
ORCL
QCOM
SBUX
T, AT&T Inc.
TWTR
VZ, Verizon Communications Inc.
WMT
